Iteration,Type,Model,MAPE,MPE,MSE,MAPE Low,MPE Low,MSE Low,MAPE High,MPE High,MSE High,MAPE Close,MPE Close,MSE Close,Accuracy,Accuracy Low,Accuracy High,Accuracy Close,Date,Activation,Batch Size,Dropout,Batchnorm,Batchnorm Order,Learning Rate,Sparse
8,clas,best,,,,,,,,,,,,,0.9193,0.9416582519914731,0.9013258771534229,0.9437156802928615,05/08/2019 15:16,relu,128,False,False,before,0.000200,False
5,clas,best,,,,,,,,,,,,,0.113,0.0,0.20384233787318481,0.0,05/08/2019 10:20,relu,128,False,False,before,0.005000,False
22,reg,best,1.1913957799076325,0.0849290023496869,0.14768739256664573,1.3879825695540127,0.09753645758421114,0.0690826241498519,1.0454371964116878,0.07556842267477704,0.20604859107230147,0.6167333993968195,0.03229570438658959,0.03163442536415851,,,,,07/08/2019 17:06,relu,256,False,False,before,0.000200,False
19,reg,best,1.2187023272234125,-0.05848489942750708,0.15585137624014644,1.4167328602820006,0.0022149572762512823,0.07204676334838635,1.0716718164440708,-0.10355234835845574,0.21807327126223908,0.6397410393616757,-0.0025190765922457675,0.034064906947338366,,,,,07/08/2019 21:40,relu,64,False,False,before,0.000200,False
14,clas,best,,,,,,,,,,,,,0.92775,0.9461460787613598,0.9129611256426445,0.9517998779743746,05/08/2019 12:27,relu,128,False,False,before,0.000050,False
12,reg,best,1.2877270300515828,0.10738817343946057,0.1758383123531089,1.491323072069139,0.15021529485411567,0.07982430960159366,1.136564330097443,0.07559058425182416,0.2471252379018467,0.6651545259723883,0.07040733491109193,0.036280901234443615,,,,,05/08/2019 15:44,relu,128,False,False,before,0.000005,False
17,reg,best,1.30607850241081,0.38817911905213176,0.16544244907081712,1.5560003711423485,0.5418812745482823,0.08537534932879809,1.1205205510839085,0.2740608258705502,0.22488937571321874,0.8317308736715255,0.5136254180099478,0.05584248199706233,,,,,07/08/2019 17:05,relu,16,False,False,before,0.000200,False
32,clas,best,,,,,,,,,,,,,0.92555,0.9451363177381353,0.9098042752773519,0.9522574740695546,07/08/2019 17:07,relu,256,False,False,before,0.000100,False
2,reg,best,1.220504707312977,-0.037786659277221885,0.15473412910631232,1.4321834942692653,0.03696930440487138,0.07389884196500526,1.063340861482564,-0.09329025942522666,0.2147514071180058,0.6260094324738518,-0.014033168746005908,0.03221252848898275,,,,,05/08/2019 11:41,relu,128,False,False,before,0.001000,False
23,reg,best,1.2244592191405157,0.057957851589925266,0.15092527920693105,1.45534697352519,0.0007630549519449914,0.0753943794165361,1.053033409516349,0.1004229201514227,0.20700424139666324,0.6762171606358973,-0.21779894237128664,0.03757125694450883,,,,,07/08/2019 18:51,relu,128,True,False,before,0.000200,False
10,reg,best,1.2126581024488137,0.06744145736984351,0.15343211795951378,1.4101260135588656,0.19518311857482287,0.07114554137629314,1.0660453181240304,-0.027402107431414024,0.21452692590882605,0.6162571082618808,-0.02169202969875267,0.031136635063717118,,,,,05/08/2019 12:30,relu,128,False,False,before,0.000050,False
6,clas,best,,,,,,,,,,,,,0.1096,0.2459329069897902,0.0,0.3343502135448444,05/08/2019 11:26,relu,128,False,False,before,0.001000,False
7,clas,best,,,,,,,,,,,,,0.1096,0.2459329069897902,0.0,0.3343502135448444,05/08/2019 13:15,relu,128,False,False,before,0.000500,False
1,reg,best,35.74391239214443,10.120649398775038,76.32505024052061,53.64054798077815,53.64054798077815,68.74090133073281,22.456307540573025,-22.191301787479585,81.9560065926039,7.120600004887355,5.16886738612664,3.509269092697398,,,,,05/08/2019 10:26,relu,128,False,False,before,0.005000,False
4,reg,best,1.1956204658413925,-0.06828368726613909,0.1501795689769619,1.3918854297776686,0.012991460230356829,0.06953840602472323,1.0499008262992295,-0.1286275456879145,0.2100527167970506,0.6202248759025711,-0.07972083118861226,0.031677934003282095,,,,,05/08/2019 15:48,relu,128,False,False,before,0.000200,False
18,reg,best,1.211476828765131,0.05485209581954233,0.1528975751536109,1.41298606372776,0.14178559991459508,0.07130340515501282,1.0618635075984186,-0.00969288779241441,0.21347829624857978,0.6354194781828729,0.08527181370907076,0.032916066618477284,,,,,07/08/2019 19:44,relu,32,False,False,before,0.000200,False
25,reg,best,1.6025366624668185,0.9259212631932338,0.2138932556760319,2.0732133591337787,1.3634720926327208,0.1598298617426628,1.2530762330369678,0.6010555924767924,0.2540333709487423,0.9894470181448081,0.6748843575326546,0.08506777521628926,,,,,07/08/2019 23:24,relu,128,False,True,after,0.000200,False
24,reg,best,1.664607200872932,0.42086664257681367,0.22588723895249188,2.2072293475535933,0.8604207850912022,0.16987829378895214,1.2617298760765747,0.09451358433429574,0.26747185567001114,1.4131356301119395,1.3699116522446846,0.134908403703642,,,,,07/08/2019 21:03,relu,128,False,True,before,0.000200,False
3,reg,best,1.2288587566992275,0.16485382023246575,0.15815054897011968,1.4132661502092314,0.1447237984026123,0.0714343396983444,1.0919429344747762,0.17979963361755125,0.22253419903233165,0.6222450894100373,-0.056925924715243395,0.031794855326938175,,,,,05/08/2019 13:42,relu,128,False,False,before,0.000500,False
30,clas,best,,,,,,,,,,,,,0.9227,0.9437899697071693,0.9057454676648327,0.9440207443563148,08/08/2019 00:21,relu,128,False,False,before,0.000100,False
26,reg,best,1.2801633583106613,0.009222170294923794,0.16736184204642351,1.5202488731557018,-0.23680362490552223,0.08489651414355967,1.1019085441000467,0.19188742789190943,0.22858936638761587,0.6690298130353022,0.12434195732291431,0.03670770924582945,,,,,08/08/2019 01:45,lrelu,256,False,False,before,0.000200,False
